
局数,金额,胜负,收益,内容,牌型
66,4.92,False,-.08,金花,6 5 3
67,4.9,False,-.02,单张,10 3 2
68,4.87,False,-.03,单张,8 7 5
69,4.85,False,-.02,对子,A K K
70,4.83,False,-.02,单张,A J 9
71,4,False,-.83,顺金,8 4 3
72,4.1,True,.1,单张,10 8 2
73,3.99,False,-.11,单张,10 4 2
74,3.97,False,-.02,单张,A 10 2
75,3.95,False,-.02,单张,Q 8 6
76,3.93,False,-.02,对子,J J 2
77,3.82,False,-.11,单张,K 8 3
78,3.71,False,-.11,单张,J 8 6
79,3.69,False,-.02,对子,7 7 5
80,3.67,False,-.02,单张,Q 6 4
81,4,True,.33,金花,Q 7 5
82,6.73,True,2.73,豹子,10 10 10
83,6.71,False,-.02,对子,A A 3
84,6.6,False,-.11,对子,8 2 2
85,6.58,False,-.02,单张,10 3 2
86,6.47,False,-.11,对子,A 2 2
87,6.45,False,-.02,对子,K K 7
88,6,False,-.45,单张,J 10 7
89,6,False,0,单张,J 8 4
90,8.08,True,2.08,顺金,8 7 6
91,7.97,False,-.11,对子,Q Q 8
92,7.86,False,-.11,对子,Q Q 8
93,7.75,False,-.11,单张,J 8 5
94,7,False,-.75,顺子,Q J 10
95,8,True,1,豹子,2 2 2
96,8,False,0,顺子,Q J 10
97,8,False,0,对子,K K 8
98,8,False,0,单张,A J 4
99,8.74,True,.74,金花,Q 10 6
100,8.63,False,-.11,单张,A 8 7
101,9.81,True,1.18,金花,A 5 4
102,9.7,False,-.11,对子,K 5 5
103,10.5,True,.8,顺子,Q J 10
104,5.48,False,-5.02,单张,8 4 3
105,5,False,-.48,单张,Q 5 4
106,5,False,0,单张,Q 10 3
107,5.15,True,.15,单张,9 7 5
局数,金额,胜负,收益,内容,牌型
1,5.13,False,-.02,,
局数,金额,胜负,收益,内容,牌型
1,4.8,False,-.31,,
局数,金额,胜负,收益,内容,牌型
1,4.76,False,0,,
局数,金额,胜负,收益,内容,牌型
1,4.63,False,-.11,,
局数,金额,胜负,收益,内容,牌型
局数,金额,胜负,收益,内容,牌型
1,4,False,-.43,,
2,4,False,0,单张,Q 5 2
3,4.83,True,.83,顺金,4 3 2
4,4.72,False,-.11,对子,8 5 5
5,4.7,False,-.02,对子,K 5 5
6,4.59,False,-.11,单张,8 5 2
7,4.48,False,-.11,单张,7 6 4
8,4,False,-.48,顺子,4 3 2
9,3.66,False,-.34,金花,9 8 5
10,3,False,-.66,顺子,Q J 10
11,3,False,0,单张,9 3 2
12,3,False,0,顺子,8 4 3
13,2.49,False,-.51,金花,8 6 3
14,2,False,-.49,单张,A K 2
15,2,False,0,对子,J 10 10
16,2.16,True,.16,单张,10 8 5
17,2.66,True,.5,顺子,6 5 4
18,3.17,True,.51,对子,K K 4
19,3.06,False,-.11,单张,6 5 3
20,2.95,False,-.11,对子,4 4 3
21,2.93,False,-.02,对子,A A 2
22,2.91,False,-.02,单张,K 8 5
23,2.8,False,-.11,对子,10 5 5
24,2.69,False,-.11,对子,4 3 3
25,2.58,False,-.11,单张,A J 7
26,3.19,True,.61,顺子,J 10 9
27,3.08,False,-.11,对子,Q 6 6
28,2.97,False,-.11,对子,J J 2
29,2.86,False,-.11,对子,K J J
30,3,True,.14,金花,K 8 7
31,3.16,True,.16,单张,K Q 3
32,3.05,False,-.11,单张,K 6 4
33,3.81,True,.76,金花,A 8 7
34,3.7,False,-.11,对子,A A K
35,4.04,True,.34,顺子,J 10 9
36,4.4,True,.36,对子,A A 3
37,4,False,-.4,单张,9 4 3
38,4,False,0,对子,K J J
39,5,True,1,顺金,10 8 8
40,5,False,0,对子,A A 7
41,6.09,True,1.09,豹子,J J J
42,6.07,False,-.02,对子,A 4 4
43,5.65,False,-.42,顺子,K Q J
44,5.62,False,-.03,单张,J 8 2
45,5.6,False,-.02,单张,A K 7
46,8.14,True,2.54,豹子,7 7 7
47,8.08,False,-.06,单张,K 7 6
48,7.66,False,-.42,顺子,Q J 10
49,7,False,-.66,金花,A 5 3
50,7.13,True,.13,对子,9 8 4
51,7.11,False,-.02,单张,Q J 5
52,7.09,False,-.02,单张,A 8 4
53,7.06,False,-.03,对子,J 6 6
54,6.95,False,-.11,单张,J 4 2
55,6.93,False,-.02,对子,Q Q 2
56,6.91,False,-.02,对子,7 2 2
57,6.8,False,-.11,顺子,4 3 2
58,6.78,False,-.02,对子,K 4 4
59,6.67,False,-.11,顺子,8 4 3
60,6.65,False,-.02,对子,K K 5
61,7.55,True,.9,金花,A J 8
62,7.44,False,-.11,单张,A 8 7
63,7,False,-.44,顺子,8 4 3
64,7,False,0,对子,A A 5
65,7.11,True,.11,单张,6 3 2
66,7.09,False,-.02,顺子,9 8 7
67,7.07,False,-.02,单张,9 5 4
68,7.12,True,.05,顺子,9 8 7
69,7,False,-.12,金花,8 3 2
70,7,False,0,对子,7 7 4
71,7,False,0,单张,A 8 5
72,6.8,False,-.2,金花,Q 8 8
73,6.69,False,-.11,对子,K K 3
74,6.58,False,-.11,对子,8 4 4
75,6.52,False,-.06,对子,A K K
76,6.41,False,-.11,单张,Q 10 7
77,6,False,-.41,单张,K 8 8
78,6.19,True,.19,单张,Q 8 4
79,6.08,False,-.11,对子,7 7 4
80,5.57,False,-.51,顺子,Q J 10
81,5.46,False,-.11,单张,J 10 3
82,5,False,-.46,单张,K 5 4
83,5,False,0,单张,J 7 4
84,5.13,True,.13,对子,9 8 8
85,4.62,False,-.51,顺子,K Q J
86,5.42,True,.8,顺子,9 8 7
87,5.4,False,-.02,对子,10 8 9
88,5,False,-.4,单张,8 5 3
89,5,False,0,对子,J 3 3
90,5.07,True,.07,对子,J J 2
91,5.05,False,-.02,单张,A 4 2
92,4.94,False,-.11,对子,Q Q 9
93,4.83,False,-.11,单张,A 10 5
94,4.81,False,-.02,单张,Q J 4
95,4.79,False,-.02,对子,7 6 6
96,4.77,False,-.02,顺子,8 4 3
97,4.66,False,-.11,单张,A 8 7
98,4.64,False,-.02,单张,10 7 2
99,4.62,False,-.02,单张,10 8 4
局数,金额,胜负,收益,内容,牌型
局数,金额,胜负,收益,内容,牌型
局数,金额,胜负,收益,内容,牌型
局数,金额,胜负,收益,内容,牌型
局数,金额,胜负,收益,内容,牌型
